id,headword,normalized_headword,pos,pos_tag,etymology,definition,gloss_ru,examples,source,page,notes
1,A,A,,,,a,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
2,adət,adət,NOUN,5_f-Chabit,"Arab, Hin, Pers a ̄dat < 'ādat",,привычка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
3,admi,admi,NOUN,2_m-V,"Arab, Hin, Pers a ̄dmī < ādamī",man,мужчина,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4,ãdʒ,adʒ,NOUN,5_f-Cintestineкишки,OIAāntrá,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5,aɖi,aɖi,,,Mandealiaḍḍi 'heel' [Ranganatha 119] < *aḍḍi ʻ heel ʼ. 2. *aḍi -- . 3. *ēḍḍi -- . 4. *ēḍi,n3_f-Vheel,пятка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
6,age,age,ADV,,Hināge < ágra,further,дальше,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
7,agəɭ,agəɭ,NOUN,7_f-idoor,"Himachali, Mandeali *argaḍa, argala",bolt in old houses door bolt,задвижка agi dʰire advfront вперед,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
8,ahɳ,ahɳ,NOUN,7_f-inettleкрапива,Suspicious IA etymology agnika,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
9,airna,airna,,,Bad OIAadhikarōti,vtarrange the warp in order to weave the material arrange,приводить в порядок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
10,ajskrim,ajskrim,,,Eng ice-cream,n5_f-Cice-cream,мороженое,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
11,aɭu,aɭu,,,"OIAāluka, ālukī",n2_m-V potato,картофель,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
12,am,am,,,"Arab, Hin a ̄m < 'ām",adjordinary,обычный,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
13,ama,ama,NOUN,6_f-amotherмать,compensatory lenghtening IA languageambāˊ,ama-bapu n 2_m-Vpl parents,родители,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
14,amb,amb,,,OIAāmrá,n4_m-C mango,манго,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
15,amu,amu,NOUN,3_f-Vmotherмать,compensatory lenghtening IA language ambāˊ,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
16,andre,andre,,,compensatory lenghtening IA languageántara,1) advinside,внутри 2) postinside внутри,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
17,angəɳ,angəɳ,NOUN,4_m-C,Mandealia ːngəṇ < aṅgana,courtyard,двор,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
18,angi,angi,,,compensatory lenghtening IA languageáṅga (āṅga?,) advseparately,отдельно alag,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
