id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes
1,A,A,,PARTICLE,particle,,,A particle added to a verb to make the compound participle,,A particle added to a verb to make the compound participle,,as hothá - having said,mainDictionary_repaired.csv,8,original,
2,Á,A,,ADV.,adv.,,,Yes,,Yes,,Also aňkár,mainDictionary_repaired.csv,8,original,
3,A',A',,NOUN,n.m.,,,,,,,As in Sé kitzá gailá á? 'Where is he having gone?',mainDictionary_repaired.csv,8,original,
4,Abkhorá,Abkhora,,NOUN,n.m.,,,A small deep pot with a rim,,A small deep pot with a rim,,Also ambkhorá,mainDictionary_repaired.csv,8,original,
5,Achhú or -á,Achhu or -a,,ADJ.,adj.,,,Good,,Good,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,8,original,
6,Achhá,Achha,,ADV.,adv.,,,Very well,,Very well,,,mainDictionary_repaired.csv,8,original,
7,Abe,Abe,,ADV.,adv.,,,"Now, at this time",,"Now, at this time",,,mainDictionary_repaired.csv,8,original,
8,Addá,Adda,,NOUN,n.m.,,,A wooden frame,,A wooden frame,,,mainDictionary_repaired.csv,8,original,
9,Ád,Ad,,N.F.,n.f.,,H. yád,"(1) Moisture, wetness. (2) Half. (3) Remembrance.",,"(1) Moisture, wetness. (2) Half. (3) Remembrance.",,"Ád-o-ád, m. The half. -áwní, v. tr. To remember. -rákhní, v. tr. To keep in memory.",mainDictionary_repaired.csv,8,original,
10,Ádhu or Ádho,Adhu or Adho,,ADJ.,adj.,,,Half,,Half,,pl. ádhe,mainDictionary_repaired.csv,8,original,
11,Adkan,Adkan,,NOUN,n.m.,,,Elbow,,Elbow,,,mainDictionary_repaired.csv,8,original,
12,Ádh,Adh,,N.F.,n.f.,,,An area equal to 4 bighás of land,,An area equal to 4 bighás of land,,,mainDictionary_repaired.csv,8,original,
13,Admen,Admen,,ADV.,adv.,,,Mid-way,,Mid-way,,,mainDictionary_repaired.csv,8,original,
14,Ádar,Adar,,NOUN,n.m.,,S. ádara,"Homage, respect",,"Homage, respect",,,mainDictionary_repaired.csv,8,original,
15,Adri,Adri,,N.F.,n.f.,,S. ádara,"Respect, honour",,"Respect, honour",,,mainDictionary_repaired.csv,8,original,
16,Afarnú,Afarnu,,V.I.,v.i. re.,,,"To swell, puff up",,"To swell, puff up",,"f. -í, pl. -é",mainDictionary_repaired.csv,8,original,
17,Áp,Ap,,PRO.,pro.,,,Self,,Self,,"By it-, him-, or herself",mainDictionary_repaired.csv,8,original,
18,Ág,Ag,,N.F.,n.f.,,S. Agni,Fire,,Fire,,Also ágí,mainDictionary_repaired.csv,8,original,
19,Ágá,Aga,,NOUN,n.m.,,,Fore,,Fore,,,mainDictionary_repaired.csv,8,original,
20,Agardán,Agardan,,NOUN,n.m.,,,A vessel for burning incense,,A vessel for burning incense,,,mainDictionary_repaired.csv,8,original,
