"Word","Part_of_Speech","Etymology","Definition","Examples_and_Notes","Source_Page"
"A","particle","","A particle added to a verb to make the compound participle","as hothá - having said","8"
"Á","adv.","","Yes","Also aňkár","8"
"A'","n.m.","","","As in Sé kitzá gailá á? 'Where is he having gone?'","8"
"Abkhorá","n.m.","","A small deep pot with a rim","Also ambkhorá","8"
"Achhú or -á","adj.","","Good","m.; f. -í, pl. -é","8"
"Achhá","adv.","","Very well","","8"
"Abe","adv.","","Now, at this time","","8"
"Addá","n.m.","","A wooden frame","","8"
"Ád","n.f.","H. yád","(1) Moisture, wetness. (2) Half. (3) Remembrance.","Ád-o-ád, m. The half. -áwní, v. tr. To remember. -rákhní, v. tr. To keep in memory.","8"
"Ádhu or Ádho","adj.","","Half","pl. ádhe","8"
"Adkan","n.m.","","Elbow","","8"
"Ádh","n.f.","","An area equal to 4 bighás of land","","8"
"Admen","adv.","","Mid-way","","8"
"Ádar","n.m.","S. ádara","Homage, respect","","8"
"Adri","n.f.","S. ádara","Respect, honour","","8"
"Afarnú","v.i. re.","","To swell, puff up","f. -í, pl. -é","8"
"Áp","pro.","","Self","By it-, him-, or herself","8"
"Ág","n.f.","S. Agni","Fire","Also ágí","8"
"Ágá","n.m.","","Fore","","8"
"Agardán","n.m.","","A vessel for burning incense","","8"
"Ágalnu","v.t. re.","","To shut in, to lock up","f. -í, pl. -é","8"
"Ággal","n.f.","S. Argala","A wooden bolt for a gate or door","","8"
"Aggarnu","v.t. re.","","To shut in","","8"
"Aggar","n.m.","S. Agaru, or Aguru","A fragrant wood (Aquilaria agallocha)","","8"
"Áge","adv.","","Before, a little before (this)","","8"
"Ageté","adv.","","(1) Some time ago; (2) lately","","8"
"Agí","n.f.","","Fire","","8"
"Agjhárá","n.m.","","A tinder-box","","8"
"Ágre-ágre","adv.","","Beforehand","","9"
"Áh","v. art.","","Second person","Tú nokhá michh áh 'Thou art a good man.'","9"
"Ahan","n.m.","","The flying-fox, said to be a female","found in the Shah hill in the Bhajji State.","9"
"Ahaň","pron.","","I","Also Añ","9"
"Áhlú","n.m.","","A kind of deer","","9"
"Aimran","n.f.","","The wild grape","","9"
"Ain","adj.","","Good, fine; to be good","Ain hoň, sumptuous. 'Friend, it is well that you have come.'","9"
"Ainshu","adv.","","This year","","9"
"Ainṭhṇú","v.a. re.","","To twist, to strut","","9"
"Aisá","int.","","Oh, ah!","","9"
"Áj","adv.","","To-day","Áje, adv. Just to-day.","9"
"Áj-ká","adj.","","Of to-day","m.; f. -í, pl. -é","9"
"Akal","n.f.","Aql","Wisdom, sense","","9"
"Akkhai","n.m.","S. Akshaya tritiya","An annual festival","","9"
"Akhar","n.m.","S. Akshara","Letters, characters (pl.)","","9"
"Akhí","n.f.","S. Akshin","Eyes","Dim. Akhṭí, pretty eyes","9"
"Akhṭaí","n.pl.","","See Akkhai","","9"
"Akṛaṇu","v.i. re.","","To be stiff, to strut","f. -í, pl. -é","9"
"Álú","n.m.","","An esculent root, like the potato (Luchúli)","","9"
"Alakh-jagáwṇá","v.i. re.","","To ask for alms","","9"
"Álú","n.m.","","A drink","-bhární, v.t. re. To drink","9"
"Amá","n.f.","S. Ambá","Mother","","9"
"Amal","n.m.","","Intoxication","","9"
"Amb","n.m.","S. Ámra","Mango","Also ámb","9"
"Ambar","adv.","","Up, in the sky; prep. above","Also ambare","9"
"Ambchárí","n.f.","","A post held by the Kanwar, said to be equivalent to Private Secy.","used in the Mandi State","9"
"Amilá","adj.","","Sour","m.; f. -í, pl. -é","9"
"Áṇ","n.f.","","An oath, a curse","","9"
"Aňchal","n.m.","S. Aňchala, a cloth","Corner of a cloth or shawl","","9"
"Aňchlá","n.m.","","Ribbon which is more than two fingers in breadth","","9"
"Aňga","n.m.","","A wasp","pl. Aňgal","9"
"Andhá","adj.","","Blind","m.; f. -í, pl. -é","9"
"Andhá-dhundh","n.f.","","Misrule","-máchní, -hoṇí, v.s. re. To suffer from misrule or bad government.","9"
"Andhoú, -á","adj.","","Unwashed, unclean","m.; f. -í, pl. -é","9"
"Andí","n.f.","","See Aṇṇí","","9"
"Andr","adv.","H. andar","Inside","o-dá, adv. From inside","9"
"Andrélá","n.m.","","The auspicious time at which a bride enters her husband's home","Syn. wism","9"
"Andro-dá or -rá","adv.","","From the inside","","9"
"Andro-khe","adv.","","To the inside","","9"
"Andról","n.m.","","See Narol","","9"
"Angaṇu","v.s. re.","","To be entangled, to be embroiled","","9"
"Angaṇat","adj.","","Innumerable, numerous","Alike in all genders","9"
"Aňger","n.m.","","Sinews (pl.)","","10"
"Áṇí","n.f.","","(1) An edge; (2) a band of soldiers; (3) a battle","","10"
"Aň-jyá","adv.","","A little, a small quantity","","10"
"Áṇí-tákhṇú","v.t. re.","","To keep ready","","10"
"Áṇí-deṇú","v.t. re.","","To bring","","10"
"Anjal","n.m.","S. Aňjali","The cavity formed by putting the palms of the hands together","","10"
"Aňkaí","n.m.","","Revenue in kind","used in the Mandí State","10"
"Ammuk","adj.","","Durable, imperishable","alike in all genders","10"
"Aṇṇ","n.m.","","Testicles (pl.)","also andí","10"
"Áṇ-uṇ","v.t. re.","","To bring, to fetch","f. -í, pl. -é","10"
"Anrí","n.f.","","A small piece of land left unploughed","","10"
"Ant","n.m.","S. Anta","End","pl. -o","10"
"Áṇṭ","n.f.","","Enmity, discord","pl. -o","10"
"Ánthí","v.","","Is","Ní-ánthí, Is not","10"
"Anwalá","n.m.","S. Ámalaka","Emblica myrobalan (Phyllanthus emblica)","pl. -é","10"
"Ápṇú, -á","pro.","","One's own","m.; f. -í, pl. -é","10"
"Appe","pro.","","See Appú","(Bághal, Kumhársain and Nálágarh). Proverb: Appe kurí ghar nú basdí, horánu sikh dasdí 'The girl doesn't live with her husband, but she gives hints to others.'","10"
"Appú, áppí","pro.","","Myself, yourself, himself, herself","","10"
"Ár","n.m.","H. yár","A friend","","10"
"Árá","n.m.","","(1) A friend; (2) a kind of long saw","","10"
"Aṛá","adj.","","Aslant, crooked","m.; f. -í, pl. -é","10"
"Aṛhá","n.m.","S. Áḍhaka","A grain measure equal to 4 páthás","Also Aṛhaṭ, Araṭ","10"
"Árí","n.f.","","(1) The handle of a plough; (2) adj. crooked","","10"
"Árí","n.f.","H. yárí","Friendship, acquaintance","","10"
"Arié-kharié","adv.","","In trouble","","10"
"Arj","n.m.","P. arz","A request","pl. -o","10"
"Aṛṇú","v.a. re.","","To insist","f. -í, pl. -é","10"
"Arshṛá","n.m.","H. árshí","A looking-glass","","10"
"Áṛú","n.m.","","The hill apricot","pl. no singular","10"
"Arúsá","n.m.","","A medicinal plant","","10"
"Ásau","v.","","Is, or are","From the irreg. verb hoṇú, to be","10"
"Asé","pro.","Punjábí, así","We (1st pers. pl. nominative)","","10"
"Ast","v.","","Art","2nd pers. sing. pres. of hoṇú, to be","10"
"Ásh","n.f.","S. Áshá","Hope","","10"
"Ashí","adj.","","80","-wáň, 80th","10"
"Ashiyá","n.m.","S. Ashíti=80","A fine of Rs. 80 in cash paid to a ruler at a jágrá","","10"
"Áshú","n.m.","S. Ashru","Tears","Also ássú. Proverb: Sháré muiň sháshu, Sáwane áye áshu. 'Her mother-in-law died in June, she weeps for her in July' (implying inconsistency).","10"
"Asklá","n.m.","","A pudding made of rice-flour","","10"
"Asklá","n.m.","","A pudding made of rice-flour","","11"
"Asrá","n.m.","S. Ashraya","Hope","-rákhní, v.t. re. To rely on","11"
"Astáj","n.m.","P. ustad","A clever man","Also stáj","11"
"Asthán","n.m.","S. Sthána","A place, especially of a deity","","11"
"Astmí, áṭheň","n.f.","S. Ashṭamí","The eighth day of the bright or dark half of a month","","11"
"Astú","n.m. pl.","","Human bones sent to the Ganges, after cremation","Also fúl","11"
"Athkaj, athké","n.m. pl.","","The forget-me-not","The word is only used as a plural and is also applied to the burrs which get entangled in woollen clothes.","11"
"Aṭhth","adj.","S. Ashṭa","8","","11"
"Aṭhwárá","n.m.","S. Ashṭavára, 8 days","A term in which each pargana has to supply three coolies daily for various duties to the State (Kuthár State). Begar for 8 days or labour in the darbar (Jubbal).","In Bushahr...","11"
"Aṭkaṇu","v.t. re.","","To stop, to wait, to retain","f. -í, pl. -é","11"
"Aṭkarkí-jeolá","n.m.","","A term for exceptionally inferior land for which cash payment was made","Kullu, Lyall Sett. Rep. 1875","11"
"Aṭṭá","n.m.","H. áṭá","Flour","","11"
"Aukhá","adj.","","In trouble, also difficult","m., f. -í, pl. -é","11"
"Aukhí","n.f.","","Difficulty, trouble","","11"
"Auňshu","adv.","","See Ainshu","","11"
"Aurá","adj.","","Unfilled, half filled","m., f. -í, pl. -é. Also auru.","11"
"Auré-bhág","n.m.","","Evil fate, unluckiness","","11"
"Auth","n.f.","","The right of the youngest brother to an extra share for his marriage expenses, if he be unmarried.","","11"
"Áwaṇu","v.t. re.","","To come","f. -í, pl. -é. Also áwṇá.","11"
"Áwi-jáṇu","v.i. ir.","","To arrive","f. -í, pl. -é","11"
"Awuň","pro.","","I (1st pers. sing.)","Also Añ. It becomes muñ with the past tense of a transitive verb. As Muñ bolá tú nú de, 'I said, you should not go'","11"
"Awrú, -á","adj.","","Somewhat empty, not quite full","m., f. -í, pl. -é","11"
"Babá","n.m.","","Father, progenitor","","11"
"Bábru","n.m.","","A kind of cake (always used in the plural)","","11"
"Ba'ch","n.f.","","Dampness, wet","","11"
"Bachár","n.m.","S. Vichára","A curse","-deṇe, v.t. re. To curse","11"
"Bacháwṇu","v.t. re.","","To save","","11"
"Báchchhá","n.m.","P. pádsháh","A king, emperor","","11"
"Bachér","n.m.","","Storing curds and butter (instead of eating them) in order to make clarified butter","","11"
"Bachnó-de-áṇṇu","v.t. re.","","To conciliate, to compromise","f. -í, pl. -é","11"
"Bachháwaṇi","n.f.","","A subscription","-páṇí, v.t. re. To subscribe","11"
"Bachháwṇu","v.t. re.","","To spread or lay out (a bed)","","11"
"Bachháwuṇ","n.f.","","A broom","-deṇú, v.t. re. To sweep","12"
"Bachháṇu","v.t. re.","bichháná","(1) To spread a bed; (2) To subscribe","f. -í, pl. -é","12"
"Báchhú, or -á","n.m.","","A calf","pl. -é","12"
"Bachṇu","v.a. re.","","To escape","f. -í, pl. -é","12"
"Badal","n.m.","","An answer, a reply","-deṇá, v.t. ir. To reply","12"
"Badám","n.m. pl.","H. bádám","Almonds","","12"
"Badár","n.m.","","A kinsman","-ṇú, v.a. re. To act like a kinsman","12"
"Badárú","n.m.","","(1) A sept of Kanets; (2) A parganá in the Bashahr State","","12"
"Badhá","n.m.","","Enhancement, increase in taxes","","12"
"Badháwṇu","v.t. re.","","(1) To extinguish, to put out; (2) To enlarge","f. -í, pl. -é","12"
"Badhú","n.m.","","A carpenter","f. -aṇ","12"
"Badhkú or -á","adj.","","Without limit","m.; f. -í, pl. -é","12"
"Badhṇu","v.t. re.","","To cut","f. -í, pl. -é","12"
"Badlí","n.f.","H. bádal","Clouds","Hyún ghalolá badlí 'The snow will melt with the clouds'","12"
"Badlíṇá","adj.","","Cloudy","m.","12"
"Badrá, -u","adj.","","Larger","m.; f. -í, pl. -é","12"
"Badrú or -á","adj.","","The eldest","m.; f. -í, pl. -é","12"
"Bádú","n.m.","","An enemy","","12"
"Badúk","n.f.","H. bandúk","A gun or rifle","","12"
"Báfar","adj.","","Spare","","12"
"Báftá","n.m.","H. báftá","Silken cloth","","12"
"Bágú","n.m.","","A dress of honour, a robe","","12"
"Bagáná","adj.","","Another's, of another","m.; f. -í, pl. -é. Fr. H. bigáná","12"
"Bagár","n.f.","","Forced labour, unpaid work, corvée","","12"
"Bagárú or -í","n.m.","","A cooly, a porter","","12"
"Bagher","n.m.","","A boy, a child","pl. -o","12"
"Bágí","n.m. pl.","","Lawless, disloyal","-hoṇu, v.a. re. To be disloyal","12"
"Bagoṭú","n.m.","","Clothing, a dress","","12"
"Bagṭas","n.f.","S. Vayu","Air, the wind","","12"
"Bagṭí","n.f.","","A small plot of land","","12"
"Bahár","adv.","","Out or outside","","12"
"Bahár","n.f.","","Enjoyment, pleasure","pl. -o","12"
"Baháthat","adj.","","62","-wán, 62nd","12"
"Baheṛá","n.m.","","Terminalia belerica","","12"
"Bahkaṇu","v.i. re.","","(1) To become mad; (2) To stray","","12"
"Bahṇu","v.i. re.","","To flow, to blow","f. -í, pl. -é","12"
"Báhṇu","v.t. re.","","To plough","f. -í, pl. -é","12"
"Bai","n.f.","S. Vāyu","(1) The wind; (2) Bile; (3) 22","","12"
"Baichhaṛ","n.f.","","An unchaste woman","","12"
"Báih","adj.","","22","-wán, 22nd","12"
"Baij","n.f.","H. byáj, interest","Interest","","12"
"Bai-láṇ-ráto","v.t. re.","","To go by night","","12"
"Bail","n.m.","","An ox, a bull","","12"
"Báillí","n.f.","","A small kind of adze","","12"
"Baiņ","n.f.","","Sister","","13"
"Báňdke-hoṇu","v.i. ir.","","To be outside","","13"
"Báňdku or -á","adj.","","External","m.; f. -í, pl. -é. adv. Outside","13"
"Báňsh","n.m.","S. Baňsha; H. báňs","A bamboo","","13"
"Bairí","n.m.","S. Vairī","An enemy","","13"
"Baiṭhṇu","v.i. re.","","To sit down","Also Beṭhṇu","13"
"Báj","n.m.","","Madness","-lágnú, v.s. re. To be mad","13"
"Bájá","n.m.","H. bájá","A musical instrument","","13"
"Bájantrí","n.m. pl.","","Musicians","Also Bajgaiṛí, and Túrí","13"
"Bájár","n.m.","P. bázár","Market, mart","","13"
"Bajaurá","n.m.","","The wheel of a stone mill","","13"
"Bajáwṇu","v.t. re.","","(1) To cause to sound; (2) To beat, to strike","","13"
"Bajgaiṛí","n.m. pl.","","See Bajantrí","","13"
"Bajhaim","n.f.","H. bujhní","A riddle, a puzzle. -bujhní, v.t. re. To solve a riddle","","13"
"Bájí","n.f.","","An ulcer on the joints","","13"
"Bajṇu","v.t. re.","H. bajáná","To sound (a musical instrument)","","13"
"Bajuwá-huňdá","adj.","","Mad, insane","m.; f. -í, pl. -é","13"
"Bajuwṇu","v.i. re.","","To be mad or insane","f. -í, pl. -é","13"
"Baji-jáṇu","v.i. ir.","","To become mad","f. -í, pl. -é","13"
"Bák","n.f.","S. Vákya","A speech, a sentence","","13"
"Bákh","n.f.","","Udder (of a cow)","","13"
"Bákh, adj.","","Cut up","-karṇu, v.t. re. To cut off","13"
"bákkhal","n.f.","","Land which is not artificially irrigated","","13"
"Bákṭhar","adj. f.","","A buffalo, she-goat or cow, whose young is more than 6 months old and whose milk has become scanty","","13"
"Bakhat","n.m.","P. waqt","Time, period","","13"
"Bakheṛ","n.f.","","Scattering coins over a bridegroom","","13"
"Bakheṛá","n.m.","H. bakheṛá","A dispute, tumult, complication","","13"
"Bakheṛiá","adj.","","One who disputes","m.","13"
"Bakherṇu","v.t. re.","","To scatter","","13"
"Bákh-hoṇu","v.i. ir.","","To be cut into two","f. -í, pl. -é","13"
"Bakhiyá","n.m.","","Double sewing","","13"
"Bakleh, or baklehí","n.f.","","Breakfast","","13"
"bakhyain or pakyain","n.m.","S. Vyakhyána","A saying, folklore","","13"
"Bakílé","adv.","","As a messenger","","13"
"Bakílo","n.m.","","A messenger","","13"
"Bakí-muwáň","phrase","","A curse","","13"
"Báklu or -á","adj.","","Thick","m.; f. -í, pl. -é","13"
"Bakṇu","v.i. re.","","To stretch the mouth","f. -í, pl. -é","13"
"Bakrá","n.m.","","A he-goat","f. -í, a she-goat; pl. -é","13"
"Bakráṭhá","n.m.","","See Bakhárchá","","13"
"Bakṭu","n.m.","","A kid","f. -í, pl. -é. =chhelu and chholí","13"
"Bál","n.m.","H. bál","Hair","","13"
"Bal","n.m.","S. Vala","Strength, might, power","","13"
"Baláhaṭṭú-láṇá","v.i. re.","","To be unhappy, to pine","","13"
"Bálak","n.m. and f.","S. Válaka","A babe or infant","","13"
"Balchá","n.m.","","A piece of rope to fasten the plough on its beam","","13"
"Bhalú or -u","adj.","","(1) Reversed, upset, contrary; (2) Left","m.; f. -í, pl. -é","14"
"Ber","n.f.","","Delay","","14"
"Ber","n.m.","","A village, a house or home","pl. -o","14"
"Berá","n.m.","","A palace, especially the female apartments in a chief's palace","pl. -é","14"
"Berí","n.f.","","(1) Iron fetters; (2) A boat","","14"
"Beṛí","n.f.","","See Bárí","","14"
"Besó","n.m.","","See Majnú","","14"
"Beṭá","n.m.","H. beṭá","A son","f. -í, A girl or daughter; pl. -é, Sons","14"
"Beṭhú","n.m.","","A low-caste farmer who works under a zamíndár","","14"
"Beṭhṇu","v.i. re.","H. baiṭhná","To sit down","","14"
"Bgáwṇu","v.t. re.","","To clear off","f. -í, pl. -é","14"
"Bhábar","n.m.","","The scorpion plant, from which jute is obtained","","14"
"Bhábi","n.f.","","Brother's wife","Also bháoj","14"
"Bhádar","adj.","H. bahádur","Gallant, brave","m.","14"
"Bhádo","n.m.","S. Bhádrapada","The 5th month of the Hindu year, corresponding to August","Also bhajjo","14"
"Bhádú","n.m.","H. bhaddú","A white-metal vessel used for cooking pulse","","14"
"Bháor","n.m.","","Brother","f. -í, Sister. m. -á, A polite term of address to anyone.","14"
"Bhág","n.m.","S. Bhágya","Luck, fate, fortune","","14"
"Bhág-khóuwane","v.i. re.","","To be ill-fated, to be unlucky","","14"
"Bhágṇu","v.i. re.","","To run away, to escape","","14"
"Bahattar","adj.","","72","","14"
"Bhái","n.m.","S. bhrátri; H. bháí","A brother","","14"
"Bhái-thú","n.m.","","An adopted brother","f. -aṇ, An adopted sister","14"
"Bháiňchal","n.m.","S. Bhúmichálana","An earthquake","","14"
"Bhaiňs","n.f.","S. Mahiṣhī; H. bhaiňs","A buffalo","Also maiňsh","14"
"Bhásh","n.m.","S. Abhyása","Practice","","14"
"Bháshṇu","v.a. re.","","To practise","f. -í, pl. -é","14"
