id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes,pronunciation_ipa,pronunciation_deva,pron_confidence,pron_note,pron_token_sample
1,A,A,,PARTICLE,particle,,,A particle added to a verb to make the compound participle,,A particle added to a verb to make the compound participle,,as hothá - having said,mainDictionary_repaired.csv,8,original,,a,अ,high,,"[{'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 0, 'len': 1, 'note': ""Short 'a' vowel""}]"
2,Á,A,,ADV.,adv.,,,Yes,,Yes,,Also aňkár,mainDictionary_repaired.csv,8,original,,Á,Á,low,unmapped_chars_sample='Á' count=1,"[{'matched': None, 'char': 'Á', 'pos': 0}]"
3,A',A',,NOUN,n.m.,,,,,,,As in Sé kitzá gailá á? 'Where is he having gone?',mainDictionary_repaired.csv,8,original,,a',अ',low,unmapped_chars_sample=''' count=1,"[{'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 0, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': ""'"", 'pos': 1}]"
4,Abkhorá,Abkhora,,NOUN,n.m.,,,A small deep pot with a rim,,A small deep pot with a rim,,Also ambkhorá,mainDictionary_repaired.csv,8,original,,abkhorá,अbkhओrá,low,unmapped_chars_sample='bkhrá' count=5,"[{'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 0, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'b', 'pos': 1}, {'matched': None, 'char': 'k', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 4, 'len': 1, 'note': 'Mid-back rounded vowel'}, {'matched': None, 'char': 'r', 'pos': 5}]"
5,Achhú or -á,Achhu or -a,,ADJ.,adj.,,,Good,,Good,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,8,original,,at͡ʃhú or -á,अच/छhú ओr -á,low,unmapped_chars_sample='hú r -' count=7,"[{'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 0, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 1, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'ú', 'pos': 4}, {'matched': None, 'char': ' ', 'pos': 5}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 6, 'len': 1, 'note': 'Mid-back rounded vowel'}]"
6,Achhá,Achha,,ADV.,adv.,,,Very well,,Very well,,,mainDictionary_repaired.csv,8,original,,at͡ʃhá,अच/छhá,low,unmapped_chars_sample='há' count=2,"[{'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 0, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 1, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
7,Abe,Abe,,ADV.,adv.,,,"Now, at this time",,"Now, at this time",,,mainDictionary_repaired.csv,8,original,,abe,अbए,low,unmapped_chars_sample='b' count=1,"[{'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 0, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'b', 'pos': 1}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 2, 'len': 1, 'note': 'Mid-front vowel'}]"
8,Addá,Adda,,NOUN,n.m.,,,A wooden frame,,A wooden frame,,,mainDictionary_repaired.csv,8,original,,addá,अddá,low,unmapped_chars_sample='ddá' count=3,"[{'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 0, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 1}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}]"
9,Ád,Ad,,N.F.,n.f.,,H. yád,"(1) Moisture, wetness. (2) Half. (3) Remembrance.",,"(1) Moisture, wetness. (2) Half. (3) Remembrance.",,"Ád-o-ád, m. The half. -áwní, v. tr. To remember. -rákhní, v. tr. To keep in memory.",mainDictionary_repaired.csv,8,original,,Ád,Ád,low,unmapped_chars_sample='Ád' count=2,"[{'matched': None, 'char': 'Á', 'pos': 0}, {'matched': None, 'char': 'd', 'pos': 1}]"
10,Ádhu or Ádho,Adhu or Adho,,ADJ.,adj.,,,Half,,Half,,pl. ádhe,mainDictionary_repaired.csv,8,original,,Ádhu or Ádho,Ádhu ओr Ádhओ,low,unmapped_chars_sample='Ádhu r' count=10,"[{'matched': None, 'char': 'Á', 'pos': 0}, {'matched': None, 'char': 'd', 'pos': 1}, {'matched': None, 'char': 'h', 'pos': 2}, {'matched': None, 'char': 'u', 'pos': 3}, {'matched': None, 'char': ' ', 'pos': 4}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 5, 'len': 1, 'note': 'Mid-back rounded vowel'}]"
11,Adkan,Adkan,,NOUN,n.m.,,,Elbow,,Elbow,,,mainDictionary_repaired.csv,8,original,,adkan,अdkअn,low,unmapped_chars_sample='dkn' count=3,"[{'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 0, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 1}, {'matched': None, 'char': 'k', 'pos': 2}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 3, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'n', 'pos': 4}]"
12,Ádh,Adh,,N.F.,n.f.,,,An area equal to 4 bighás of land,,An area equal to 4 bighás of land,,,mainDictionary_repaired.csv,8,original,,Ádh,Ádh,low,unmapped_chars_sample='Ádh' count=3,"[{'matched': None, 'char': 'Á', 'pos': 0}, {'matched': None, 'char': 'd', 'pos': 1}, {'matched': None, 'char': 'h', 'pos': 2}]"
13,Admen,Admen,,ADV.,adv.,,,Mid-way,,Mid-way,,,mainDictionary_repaired.csv,8,original,,admen,अdmएn,low,unmapped_chars_sample='dmn' count=3,"[{'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 0, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 1}, {'matched': None, 'char': 'm', 'pos': 2}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 3, 'len': 1, 'note': 'Mid-front vowel'}, {'matched': None, 'char': 'n', 'pos': 4}]"
14,Ádar,Adar,,NOUN,n.m.,,S. ádara,"Homage, respect",,"Homage, respect",,,mainDictionary_repaired.csv,8,original,,Ádar,Ádअr,low,unmapped_chars_sample='Ádr' count=3,"[{'matched': None, 'char': 'Á', 'pos': 0}, {'matched': None, 'char': 'd', 'pos': 1}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 3}]"
15,Adri,Adri,,N.F.,n.f.,,S. ádara,"Respect, honour",,"Respect, honour",,,mainDictionary_repaired.csv,8,original,,adri,अdri,low,unmapped_chars_sample='dri' count=3,"[{'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 0, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'i', 'pos': 3}]"
16,Afarnú,Afarnu,,V.I.,v.i. re.,,,"To swell, puff up",,"To swell, puff up",,"f. -í, pl. -é",mainDictionary_repaired.csv,8,original,,afarnú,अfअrnú,low,unmapped_chars_sample='frnú' count=4,"[{'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 0, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'f', 'pos': 1}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 3}, {'matched': None, 'char': 'n', 'pos': 4}, {'matched': None, 'char': 'ú', 'pos': 5}]"
17,Áp,Ap,,PRO.,pro.,,,Self,,Self,,"By it-, him-, or herself",mainDictionary_repaired.csv,8,original,,Áp,Áp,low,unmapped_chars_sample='Áp' count=2,"[{'matched': None, 'char': 'Á', 'pos': 0}, {'matched': None, 'char': 'p', 'pos': 1}]"
