id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes,pronunciation_ipa,pronunciation_deva,pron_confidence,pron_note,pron_token_sample
3097,Murāṛā,Murara,,NOUN,n.m.,,,Half-burnt fuel.,,Half-burnt fuel.,,,mainDictionary_repaired.csv,93,original,,Muraːṛaː,Murआṛआ,low,unmapped_chars_sample='Murṛ' count=4,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'ṛ', 'pos': 4}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 5, 'len': 1, 'note': ""Long 'a' vowel""}]"
3098,Mūṛī,Muri,,N.F.,n.f.,,,Roasted grain for chewing.,,Roasted grain for chewing.,,"-banāwṇī, v.t. re. To prepare roasted grain; to roast grain.",mainDictionary_repaired.csv,93,original,,Muːṛī,Mऊṛī,low,unmapped_chars_sample='Mṛī' count=3,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': 'ū', 'ipa': 'uː', 'deva': 'ऊ', 'pos': 1, 'len': 1, 'note': ""Long 'u' vowel""}, {'matched': None, 'char': 'ṛ', 'pos': 2}, {'matched': None, 'char': 'ī', 'pos': 3}]"
3099,Murkh,Murkh,,NOUN,n.m. and f.,,"(S. Mūrkha, illiterate)","An illiterate man, a fool.",,"An illiterate man, a fool.",,,mainDictionary_repaired.csv,93,original,,Murkh,Murkh,low,unmapped_chars_sample='Murkh' count=5,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'k', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}]"
3100,Murkú,Murku,,NOUN,n.m.,,,A kind of small earring.,,A kind of small earring.,,"-ī, n.f. A small nose-ring.",mainDictionary_repaired.csv,93,original,,Murkú,Murkú,low,unmapped_chars_sample='Murkú' count=5,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'k', 'pos': 3}, {'matched': None, 'char': 'ú', 'pos': 4}]"
3101,Murlī,Murli,,N.F.,n.f.,,(S. Muralī),"A flute, a pipe (of music).",,"A flute, a pipe (of music).",,,mainDictionary_repaired.csv,93,original,,Murlī,Murlī,low,unmapped_chars_sample='Murlī' count=5,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'ī', 'pos': 4}]"
3102,Murr,Murr,,N.F.,n.f.,,"(S. Mūrti, an image)","(1) An image, an idol. (2) A picture.",,"(1) An image, an idol. (2) A picture.",,,mainDictionary_repaired.csv,93,original,,Murr,Murr,low,unmapped_chars_sample='Murr' count=4,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'r', 'pos': 3}]"
3103,Mūshā,Musha,,NOUN,n.m.,,(S. Mūṣaka),A mouse or rat.,,A mouse or rat.,,f. -ī.,mainDictionary_repaired.csv,93,original,,Muːshaː,Mऊshआ,low,unmapped_chars_sample='Msh' count=3,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': 'ū', 'ipa': 'uː', 'deva': 'ऊ', 'pos': 1, 'len': 1, 'note': ""Long 'u' vowel""}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 4, 'len': 1, 'note': ""Long 'a' vowel""}]"
3104,Mūshl,Mushl,,NOUN,n.m.,,(S. Muśala),"A pestle, a club, a mace.",,"A pestle, a club, a mace.",,,mainDictionary_repaired.csv,93,original,,Muːshl,Mऊshl,low,unmapped_chars_sample='Mshl' count=4,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': 'ū', 'ipa': 'uː', 'deva': 'ऊ', 'pos': 1, 'len': 1, 'note': ""Long 'u' vowel""}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'l', 'pos': 4}]"
3105,Mūshl-dhār-barkhā,Mushl-dhar-barkha,,N.F.,n.f.,,,Heavy rain. Raining cats and dogs.,,Heavy rain. Raining cats and dogs.,,,mainDictionary_repaired.csv,93,original,,Muːshl-dhaːr-barkhaː,Mऊshl-dhआr-bअrkhआ,low,unmapped_chars_sample='Mshl-d' count=13,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': 'ū', 'ipa': 'uː', 'deva': 'ऊ', 'pos': 1, 'len': 1, 'note': ""Long 'u' vowel""}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'l', 'pos': 4}, {'matched': None, 'char': '-', 'pos': 5}]"
3106,Mushlī,Mushli,,N.F.,n.f.,,,A small pestle or club.,,A small pestle or club.,,,mainDictionary_repaired.csv,94,original,,Mushlī,Mushlī,low,unmapped_chars_sample='Mushlī' count=6,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'l', 'pos': 4}, {'matched': None, 'char': 'ī', 'pos': 5}]"
