orth,ipa,devanagari,note,sample_count
r,r,र,per-letter fallback,783
h,h,ह,per-letter fallback,631
i,i,इ,per-letter fallback,394
n,n,न,per-letter fallback,381
u,u,उ,per-letter fallback,351
t,t,त,per-letter fallback,304
l,l,ल,per-letter fallback,263
K,k,क,per-letter fallback,261
k,k,क,per-letter fallback,236
d,d,द,per-letter fallback,214
nu,nu,नउ,per-letter fallback,182
Kh,kʰ,ख,cluster rule,140
N,n,न,per-letter fallback,139
T,t,त,per-letter fallback,127
wnu,wnu,वनउ,per-letter fallback,120
D,d,द,per-letter fallback,114
g,ɡ,ग,per-letter fallback,111
G,ɡ,ग,per-letter fallback,111
ri,ri,रइ,per-letter fallback,107
kh,kʰ,ख,cluster rule,97
R,r,र,per-letter fallback,74
hi,hi,हइ,per-letter fallback,72
L,l,ल,per-letter fallback,65
li,li,लइ,per-letter fallback,61
Dh,d̪ʱ,ध,cluster rule,61
rnu,rnu,रनउ,per-letter fallback,57
in,in,इन,per-letter fallback,57
H,h,ह,per-letter fallback,52
ra,ra,रअ,per-letter fallback,50
Th,t̪ʰ,थ,cluster rule,49
ni,ni,नइ,per-letter fallback,46
w,w,व,per-letter fallback,46
ng,ŋ,ङ,cluster rule,44
hu,hu,हउ,per-letter fallback,43
ru,ru,रउ,per-letter fallback,43
ha,ha,हअ,per-letter fallback,40
ti,ti,तइ,per-letter fallback,39
ir,ir,इर,per-letter fallback,37
un,un,उन,per-letter fallback,36
la,la,लअ,per-letter fallback,33
hnu,hnu,हनउ,per-letter fallback,31
nd,nd,नद,per-letter fallback,31
knu,knu,कनउ,per-letter fallback,29
ur,ur,उर,per-letter fallback,26
gh,ɡʱ,घ,cluster rule,26
anu,anu,अनउ,per-letter fallback,24
Gh,ɡʱ,घ,cluster rule,24
lnu,lnu,लनउ,per-letter fallback,22
dh,d̪ʱ,ध,cluster rule,22
rn,rn,रन,per-letter fallback,22
awnu,awnu,अवनउ,per-letter fallback,21
ul,ul,उल,per-letter fallback,21
U,u,उ,per-letter fallback,20
tu,tu,तउ,per-letter fallback,19
ki,ki,कइ,per-letter fallback,19
ta,ta,तअ,per-letter fallback,18
kr,kr,कर,per-letter fallback,17
il,il,इल,per-letter fallback,17
lu,lu,लउ,per-letter fallback,17
'l,'l,ल,per-letter fallback,17
uk,uk,उक,per-letter fallback,16
tnu,tnu,तनउ,per-letter fallback,16
hundu,hundu,हउनदउ,per-letter fallback,16
an,an,अन,per-letter fallback,15
rawnu,rawnu,रअवनउ,per-letter fallback,15
ut,ut,उत,per-letter fallback,15
Ni,ni,नइ,per-letter fallback,15
hr,hr,हर,per-letter fallback,14
na,na,नअ,per-letter fallback,14
di,di,दइ,per-letter fallback,14
',',,per-letter fallback,13
nt,nt,नत,per-letter fallback,13
y,j,य,per-letter fallback,13
ku,ku,कउ,per-letter fallback,13
nh,nh,नह,per-letter fallback,13
Ti,ti,तइ,per-letter fallback,13
ar,ar,अर,per-letter fallback,12
iri,iri,इरइ,per-letter fallback,12
hl,hl,हल,per-letter fallback,12
uni,uni,उनइ,per-letter fallback,12
'r,'r,र,per-letter fallback,12
it,it,इत,per-letter fallback,12
Tr,tr,तर,per-letter fallback,12
ura,ura,उरअ,per-letter fallback,11
ind,ind,इनद,per-letter fallback,11
hri,hri,हरइ,per-letter fallback,11
ud,ud,उद,per-letter fallback,11
r k,r k,रक,per-letter fallback,11
wi,wi,वइ,per-letter fallback,11
rd,rd,रद,per-letter fallback,11
Gu,ɡu,गउ,per-letter fallback,11
Ka,ka,कअ,per-letter fallback,11
Kr,kr,कर,per-letter fallback,11
